"time (S)","factor (N)","pi (S)"
"2021-05-05 21:46:16","97336","3.141582379898584"
"2021-05-05 21:47:15","103823","3.1416022853668917"
"2021-05-05 21:48:15","110592","3.1415836113443634"
"2021-05-05 21:49:15","117649","3.1416011534494763"
"2021-05-05 21:50:15","125000","3.141584653589728"
"2021-05-05 21:50:16","125000","3.141584653589728"
"2021-05-05 21:51:15","132651","3.1416001921684225"
"2021-05-05 21:52:15","140608","3.1415855416188876"
"2021-05-05 21:54:15","157464","3.1415863029318056"
"2021-05-05 21:54:16","157464","3.1415863029318056"
"2021-05-05 21:55:15","166375","3.141598664108154"
"2021-05-05 21:56:16","175616","3.141586959347785"
"2021-05-05 21:57:15","185193","3.1415980533619163"
"2021-05-05 21:58:15","195112","3.1415875283283916"
"2021-05-05 21:59:15","205379","3.141597522636734"
"2021-05-05 22:00:15","1","4.0"
"2021-05-05 22:01:15","1","4.0"
"2021-05-05 22:02:15","8","3.017071817071818"
"2021-05-05 22:03:15","27","3.1786170109992202"
"2021-05-05 22:04:15","64","3.125968606973288"
"2021-05-05 22:05:16","125","3.1495925256000317"
"2021-05-05 22:06:15","216","3.1369630487667557"
"2021-05-05 22:07:15","343","3.1445080992896712"
"2021-05-05 22:08:15","512","3.139639530452431"
"2021-05-05 22:09:15","729","3.1429643950569854"
"2021-05-05 22:10:15","1000","3.140592653839794"
"2021-05-05 22:11:15","1331","3.14234396828467"
"2021-05-05 22:12:15","1728","3.141013949934539"
"2021-05-05 22:13:16","2197","3.142047819701858"
"2021-05-05 22:14:15","2744","3.1412282221150143"
"2021-05-05 22:15:16","3375","3.14188894987959"
"2021-05-05 22:16:15","4096","3.141348512968434"
"2021-05-05 22:17:15","4913","3.1417961952119438"
"2021-05-05 22:18:15","5832","3.141421185826989"
"2021-05-05 22:19:16","6859","3.141738447436511"
"2021-05-05 22:20:15","8000","3.141467653590268"
"2021-05-05 22:21:15","9261","3.141700633289284"
"2021-05-05 22:23:15","12167","3.141674843118693"
"2021-05-05 22:24:15","13824","3.141520315626915"
"2021-05-05 22:25:15","15625","3.141656653589722"
"2021-05-05 22:26:16","17576","3.1415357578228837"
"2021-05-05 22:27:16","19683","3.1416434588531876"
"2021-05-05 22:28:15","21952","3.141547099653953"
"2021-05-05 22:29:15","24389","3.1416336556808755"
"2021-05-05 22:30:15","27000","3.1415556165527665"
"2021-05-05 22:31:15","29791","3.1416262207744947"
"2021-05-05 22:32:15","32768","3.1415621360116797"
"2021-05-05 22:33:15","35937","3.1416204800638963"
"2021-05-05 22:34:15","39304","3.141567210886769"
"2021-05-05 22:35:15","42875","3.1416159772049452"
"2021-05-05 22:36:15","46656","3.1415712201192867"
"2021-05-05 22:37:15","50653","3.141612395757074"
"2021-05-05 22:39:15","59319","3.141609511594793"
"2021-05-05 22:40:15","64000","3.141577028589768"
"2021-05-05 22:41:15","68921","3.141607162955563"
"2021-05-05 22:42:15","74088","3.1415791561272712"
"2021-05-05 22:43:15","79507","3.141605231098648"
"2021-05-05 22:44:15","85184","3.1415809142959636"
"2021-05-05 22:45:15","91125","3.1416036275266306"
"2021-05-05 22:46:15","97336","3.141582379898584"
"2021-05-05 22:47:15","103823","3.1416022853668917"
"2021-05-05 22:48:15","110592","3.1415836113443634"
"2021-05-05 22:50:15","125000","3.141584653589728"
"2021-05-05 22:51:15","132651","3.1416001921684225"
"2021-05-05 22:52:15","140608","3.1415855416188876"
"2021-05-05 22:53:15","148877","3.141599370544006"
"2021-05-05 22:55:15","166375","3.141598664108154"
"2021-05-05 22:56:15","175616","3.141586959347785"
"2021-05-05 22:57:15","185193","3.1415980533619163"
"2021-05-05 22:59:15","205379","3.141597522636734"
"2021-05-05 23:00:15","1","4.0"
"2021-05-05 23:01:15","1","4.0"
"2021-05-05 23:02:15","8","3.017071817071818"
"2021-05-05 23:03:15","27","3.1786170109992202"
"2021-05-05 23:05:15","125","3.1495925256000317"
"2021-05-05 23:06:15","216","3.1369630487667557"
"2021-05-05 23:07:15","343","3.1445080992896712"
"2021-05-05 23:08:16","512","3.139639530452431"
"2021-05-05 23:09:15","729","3.1429643950569854"
"2021-05-05 23:10:16","1000","3.140592653839794"
"2021-05-05 23:11:16","1331","3.14234396828467"
"2021-05-05 23:12:15","1728","3.141013949934539"
"2021-05-05 23:13:16","2197","3.142047819701858"
"2021-05-05 23:14:15","2744","3.1412282221150143"
"2021-05-05 23:15:15","3375","3.14188894987959"
"2021-05-05 23:16:15","4096","3.141348512968434"
"2021-05-05 23:18:15","5832","3.141421185826989"
"2021-05-05 23:19:15","6859","3.141738447436511"
"2021-05-05 23:20:15","8000","3.141467653590268"
"2021-05-05 23:21:15","9261","3.141700633289284"
"2021-05-05 23:22:15","10648","3.141498739239878"
"2021-05-05 23:22:16","10648","3.141498739239878"
"2021-05-05 23:23:15","12167","3.141674843118693"
"2021-05-05 23:24:15","13824","3.141520315626915"
"2021-05-05 23:25:15","15625","3.141656653589722"
"2021-05-05 23:26:15","17576","3.1415357578228837"
"2021-05-05 23:28:15","21952","3.141547099653953"
"2021-05-05 23:29:15","24389","3.1416336556808755"
"2021-05-05 23:31:15","29791","3.1416262207744947"
"2021-05-05 23:31:16","29791","3.1416262207744947"
